time_left,ct_health,t_health,ct_armor,ct_players_alive,t_players_alive,bomb_planted
175.0,500.0,500.0,0.0,5.0,5.0,0
156.03,500.0,500.0,400.0,5.0,5.0,0
96.03,391.0,400.0,294.0,4.0,4.0,0
76.03,391.0,400.0,294.0,4.0,4.0,0
174.97,500.0,500.0,192.0,5.0,5.0,0
114.97,500.0,500.0,500.0,5.0,5.0,0
94.97,295.0,111.0,296.0,3.0,2.0,0
74.97,295.0,111.0,296.0,3.0,2.0,0
54.97,249.0,89.0,269.0,3.0,1.0,0
174.97,500.0,500.0,196.0,5.0,5.0,0
114.97,500.0,500.0,496.0,5.0,5.0,0
94.97,500.0,500.0,496.0,5.0,5.0,0
74.97,300.0,200.0,296.0,3.0,2.0,0
54.97,116.0,126.0,187.0,2.0,2.0,0
34.97,100.0,105.0,100.0,1.0,2.0,0
174.97,500.0,500.0,0.0,5.0,5.0,0
114.97,500.0,500.0,500.0,5.0,5.0,0
94.97,431.0,428.0,499.0,5.0,5.0,0
74.97,404.0,328.0,494.0,5.0,4.0,0
54.97,391.0,211.0,489.0,5.0,4.0,0
29.27,379.0,99.0,487.0,5.0,1.0,1
174.97,500.0,500.0,487.0,5.0,5.0,0
114.97,500.0,500.0,499.0,5.0,5.0,0
94.97,300.0,339.0,299.0,3.0,4.0,0
74.97,200.0,339.0,200.0,2.0,4.0,0
54.97,100.0,149.0,100.0,1.0,2.0,0
22.7,100.0,149.0,100.0,1.0,2.0,1
174.97,500.0,500.0,0.0,5.0,5.0,0
175.0,500.0,500.0,100.0,5.0,5.0,0
172.1,500.0,500.0,400.0,5.0,5.0,0
112.1,500.0,500.0,500.0,5.0,5.0,0
92.1,300.0,414.0,300.0,3.0,5.0,0
72.1,300.0,414.0,300.0,3.0,5.0,0
37.38,300.0,414.0,300.0,3.0,5.0,1
17.38,300.0,414.0,300.0,3.0,5.0,1
174.97,500.0,500.0,285.0,5.0,5.0,0
114.97,500.0,500.0,285.0,5.0,5.0,0
94.97,399.0,465.0,285.0,4.0,5.0,0
74.97,163.0,149.0,100.0,2.0,2.0,0
24.84,67.0,0.0,96.0,1.0,0.0,1
174.97,500.0,500.0,96.0,5.0,5.0,0
114.97,500.0,500.0,496.0,5.0,5.0,0
94.97,400.0,476.0,400.0,4.0,5.0,0
74.97,300.0,286.0,300.0,3.0,4.0,0
27.35,200.0,210.0,200.0,2.0,3.0,1
7.35,100.0,210.0,100.0,1.0,3.0,1
174.96,500.0,500.0,0.0,5.0,5.0,0
114.96,500.0,500.0,500.0,5.0,5.0,0
94.96,500.0,490.0,500.0,5.0,5.0,0
74.96,400.0,390.0,400.0,4.0,4.0,0
54.96,298.0,192.0,300.0,3.0,2.0,0
174.96,500.0,500.0,299.0,5.0,5.0,0
175.0,500.0,500.0,399.0,5.0,5.0,0
168.7,500.0,500.0,499.0,5.0,5.0,0
108.7,500.0,500.0,499.0,5.0,5.0,0
88.7,307.0,70.0,382.0,4.0,1.0,0
174.97,500.0,500.0,382.0,5.0,5.0,0
114.97,500.0,500.0,482.0,5.0,5.0,0
94.97,473.0,500.0,472.0,5.0,5.0,0
74.97,454.0,460.0,465.0,5.0,5.0,0
54.97,454.0,460.0,465.0,5.0,5.0,0
35.3,371.0,360.0,371.0,4.0,4.0,1
15.3,338.0,260.0,366.0,4.0,3.0,1
174.96,500.0,500.0,358.0,5.0,5.0,0
114.96,500.0,500.0,466.0,5.0,5.0,0
94.96,500.0,500.0,466.0,5.0,5.0,0
74.96,500.0,500.0,466.0,5.0,5.0,0
174.97,500.0,500.0,360.0,5.0,5.0,0
114.97,500.0,500.0,478.0,5.0,5.0,0
94.97,476.0,300.0,477.0,5.0,3.0,0
74.97,376.0,200.0,377.0,4.0,2.0,0
174.97,500.0,500.0,369.0,5.0,5.0,0
114.97,500.0,500.0,469.0,5.0,5.0,0
94.97,500.0,464.0,469.0,5.0,5.0,0
74.97,500.0,464.0,469.0,5.0,5.0,0
54.97,432.0,200.0,445.0,5.0,2.0,0
174.96,500.0,500.0,377.0,5.0,5.0,0
114.96,500.0,500.0,499.0,5.0,5.0,0
94.96,389.0,400.0,400.0,4.0,4.0,0
74.96,109.0,200.0,200.0,2.0,2.0,0
175.0,500.0,500.0,0.0,5.0,5.0,0
156.38,500.0,500.0,300.0,5.0,5.0,0
96.38,320.0,461.0,384.0,5.0,5.0,0
76.38,116.0,366.0,197.0,2.0,5.0,0
174.96,500.0,500.0,0.0,5.0,5.0,0
114.96,500.0,500.0,200.0,5.0,5.0,0
94.96,300.0,400.0,100.0,3.0,4.0,0
74.96,184.0,280.0,0.0,2.0,3.0,0
174.96,500.0,500.0,0.0,5.0,5.0,0
114.96,500.0,500.0,0.0,5.0,5.0,0
174.97,500.0,500.0,0.0,5.0,5.0,0
114.97,500.0,500.0,500.0,5.0,5.0,0
94.97,497.0,500.0,500.0,5.0,5.0,0
74.97,200.0,300.0,200.0,2.0,4.0,0
54.97,100.0,300.0,100.0,1.0,4.0,0
24.94,28.0,147.0,93.0,1.0,2.0,1
4.94,28.0,147.0,93.0,1.0,2.0,1
174.96,500.0,500.0,91.0,5.0,5.0,0
114.96,500.0,500.0,491.0,5.0,5.0,0
94.96,483.0,400.0,491.0,5.0,4.0,0
74.96,283.0,204.0,291.0,3.0,3.0,0
54.96,183.0,204.0,191.0,2.0,3.0,0
34.96,100.0,100.0,100.0,1.0,1.0,0
14.96,100.0,40.0,100.0,1.0,1.0,0
169.95,500.0,500.0,0.0,5.0,5.0,0
109.95,500.0,500.0,400.0,5.0,5.0,0
89.95,180.0,146.0,87.0,2.0,2.0,0
169.96,500.0,500.0,0.0,5.0,5.0,0
109.96,500.0,500.0,400.0,5.0,5.0,0
89.96,400.0,394.0,300.0,4.0,4.0,0
35.98,200.0,305.0,200.0,2.0,4.0,1
15.98,200.0,305.0,200.0,2.0,4.0,1
169.96,500.0,500.0,192.0,5.0,5.0,0
109.96,500.0,500.0,192.0,5.0,5.0,0
89.96,201.0,500.0,192.0,3.0,5.0,0
169.96,500.0,500.0,0.0,5.0,5.0,0
109.96,500.0,500.0,500.0,5.0,5.0,0
89.96,500.0,499.0,500.0,5.0,5.0,0
69.96,500.0,499.0,500.0,5.0,5.0,0
49.96,500.0,399.0,500.0,5.0,4.0,0
29.96,500.0,200.0,500.0,5.0,2.0,0
9.96,400.0,110.0,400.0,4.0,2.0,0
169.96,500.0,500.0,400.0,5.0,5.0,0
109.96,500.0,500.0,500.0,5.0,5.0,0
89.96,400.0,407.0,400.0,4.0,5.0,0
30.83,300.0,348.0,300.0,3.0,4.0,1
10.83,300.0,100.0,300.0,3.0,1.0,1
169.96,500.0,500.0,300.0,5.0,5.0,0
109.96,500.0,500.0,500.0,5.0,5.0,0
89.96,500.0,500.0,500.0,5.0,5.0,0
69.96,500.0,500.0,500.0,5.0,5.0,0
49.96,500.0,500.0,500.0,5.0,5.0,0
29.96,300.0,186.0,300.0,3.0,3.0,0
9.96,200.0,93.0,200.0,2.0,1.0,0
169.96,500.0,500.0,200.0,5.0,5.0,0
109.96,500.0,500.0,500.0,5.0,5.0,0
89.96,500.0,500.0,500.0,5.0,5.0,0
69.96,500.0,452.0,500.0,5.0,5.0,0
169.96,500.0,500.0,400.0,5.0,5.0,0
109.96,500.0,500.0,500.0,5.0,5.0,0
89.96,395.0,412.0,398.0,4.0,5.0,0
69.96,395.0,412.0,398.0,4.0,5.0,0
49.96,200.0,290.0,200.0,2.0,4.0,0
27.16,200.0,290.0,200.0,2.0,4.0,1
7.16,100.0,290.0,100.0,1.0,4.0,1
169.96,500.0,500.0,100.0,5.0,5.0,0
109.96,500.0,500.0,500.0,5.0,5.0,0
89.96,500.0,500.0,500.0,5.0,5.0,0
69.96,500.0,500.0,500.0,5.0,5.0,0
49.96,471.0,200.0,500.0,5.0,2.0,0
29.96,371.0,200.0,400.0,4.0,2.0,0
33.49,171.0,100.0,200.0,2.0,1.0,1
13.49,112.0,0.0,191.0,2.0,0.0,1
169.96,500.0,500.0,191.0,5.0,5.0,0
170.0,500.0,500.0,491.0,5.0,5.0,0
170.0,500.0,500.0,491.0,5.0,5.0,0
112.62,500.0,500.0,491.0,5.0,5.0,0
92.62,500.0,500.0,491.0,5.0,5.0,0
72.62,500.0,447.0,491.0,5.0,5.0,0
52.62,282.0,200.0,384.0,4.0,2.0,0
32.62,103.0,76.0,188.0,2.0,1.0,0
30.66,100.0,76.0,91.0,1.0,1.0,1
10.66,13.0,0.0,91.0,1.0,0.0,1
169.95,500.0,500.0,91.0,5.0,5.0,0
109.95,500.0,500.0,491.0,5.0,5.0,0
89.95,500.0,400.0,491.0,5.0,4.0,0
